first_name,last_name,latitude,longitude,company,pyfloat,random_digit
Rachel,Fleming,-33.157299,29.296237,"Schmidt, Barnes and Pearson",5458.0,1
Kimberly,Mcguire,-4.945481,114.873502,Simpson-Becker,8280992725192.5,6
Mary,Ponce,-33.096308,-163.876509,"Gould, Turner and Anderson",16119452467181.0,7
Connor,Hale,-48.3253665,-125.036596,Wells Ltd,715269830.582,7
Joshua,Garrett,-28.198096,-76.564215,Snyder-Price,293.449379357,2
Hunter,Jones,74.2979555,137.628459,Alexander-Mendoza,23526.0,8
Kevin,Hanson,-21.397352,-148.698642,"Thomas, Taylor and Reeves",-1267995.99,7
Paul,Crosby,-54.1803475,-76.022911,"Thomas, Carey and Taylor",83536547830.191,1
William,Black,89.987337,-27.346240,Morrow Ltd,-97654476.17271,0
Albert,Peterson,80.397636,-83.107534,Vasquez Inc,879684678634057.0,9
Dana,Lopez,-7.6976275,-18.422747,"Smith, Hardy and Gardner",-80874524838.6,4
John,Lane,83.911628,45.259887,"Stevens, Lane and Garcia",9.8771306,0
Megan,Terry,20.203681,6.710808,Shea-Baxter,-55469687508.9536,1
Debra,Brooks,54.638738,-95.137753,Case LLC,-3473.55779824,1
Randy,Wade,-48.6976645,87.653371,"Meyer, Roth and Stevens",-378.7188555253,9
Tracy,Francis,-78.232187,126.301074,"House, Barker and Meyer",8094246593.84286,3
Susan,Howard,24.1624215,62.350770,"Jones, Gonzalez and Donaldson",-634379414782542.0,8
Andrea,Clay,-39.062319,-101.289372,Smith Ltd,31538.0,6
Mark,Garcia,48.703662,-101.172842,Downs Inc,-4812928014046.0,7
Joseph,Rasmussen,71.8050935,36.209537,Watson-Mcdaniel,823960756525589.0,8
